,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
839,"frozenset([1, 11, 5, 7])",frozenset([2]),0.2793053545586107,0.47901591895803186,0.2778581765557164,0.994818652849741,2.076796643864565,0.14406646547192456,100.54992764110165
840,"frozenset([2, 11, 5, 7])",frozenset([1]),0.2778581765557164,0.4341534008683068,0.2778581765557164,1.0,2.3033333333333332,0.15722510424498568,inf
841,"frozenset([1, 2, 11])","frozenset([5, 7])",0.3921852387843705,0.3125904486251809,0.2778581765557164,0.7084870848708487,2.26650266502665,0.1552648168199363,2.358075802817417
842,"frozenset([1, 2, 5])","frozenset([11, 7])",0.36324167872648333,0.3053545586107091,0.2778581765557164,0.7649402390438248,2.5050886501387817,0.16694067407917806,2.95518653879173
843,"frozenset([1, 2, 7])","frozenset([11, 5])",0.3053545586107091,0.3589001447178003,0.2778581765557164,0.9099526066350713,2.5353921418743317,0.16826638128009286,7.119582603397074
844,"frozenset([1, 11, 5])","frozenset([2, 7])",0.3589001447178003,0.32127351664254705,0.2778581765557164,0.7741935483870969,2.4097646033129907,0.16255306493870963,3.0057887120115785
845,"frozenset([1, 11, 7])","frozenset([2, 5])",0.3053545586107091,0.4341534008683068,0.2778581765557164,0.9099526066350713,2.0959241706161142,0.1452874564642363,6.283875390357237
846,"frozenset([1, 5, 7])","frozenset([2, 11])",0.28509406657018815,0.3921852387843705,0.2778581765557164,0.9746192893401016,2.485099368760185,0.16604849198187993,23.947901591895835
847,"frozenset([2, 11, 5])","frozenset([1, 7])",0.3545586107091172,0.3125904486251809,0.2778581765557164,0.7836734693877552,2.5070294784580502,0.16702654137023257,3.1776479261666175
848,"frozenset([2, 11, 7])","frozenset([1, 5])",0.30101302460202606,0.3704775687409551,0.2778581765557164,0.9230769230769231,2.4915865384615388,0.16633960304179646,8.183791606367588
849,"frozenset([2, 5, 7])","frozenset([1, 11])",0.2937771345875543,0.40520984081041966,0.2778581765557164,0.9458128078817735,2.3341308937368055,0.15881679061575227,10.97658202868045
850,"frozenset([11, 5, 7])","frozenset([1, 2])",0.2793053545586107,0.402315484804631,0.2778581765557164,0.994818652849741,2.4727326946732773,0.16548930742793955,115.35311143270829
851,"frozenset([1, 2])","frozenset([11, 5, 7])",0.402315484804631,0.2793053545586107,0.2778581765557164,0.6906474820143885,2.472732694673277,0.16548930742793955,2.3296873422407702
852,"frozenset([1, 11])","frozenset([2, 5, 7])",0.40520984081041966,0.2937771345875543,0.2778581765557164,0.6857142857142858,2.3341308937368055,0.15881679061575227,2.2470727535850554
853,"frozenset([1, 5])","frozenset([2, 11, 7])",0.3704775687409551,0.30101302460202606,0.2778581765557164,0.7500000000000001,2.4915865384615388,0.16633960304179646,2.795947901591897
854,"frozenset([1, 7])","frozenset([2, 11, 5])",0.3125904486251809,0.3545586107091172,0.2778581765557164,0.8888888888888891,2.5070294784580507,0.16702654137023257,5.808972503617954
855,"frozenset([2, 11])","frozenset([1, 5, 7])",0.3921852387843705,0.28509406657018815,0.2778581765557164,0.7084870848708487,2.4850993687601846,0.16604849198187993,2.4523988349301136
856,"frozenset([2, 5])","frozenset([1, 11, 7])",0.4341534008683068,0.3053545586107091,0.2778581765557164,0.6400000000000001,2.0959241706161142,0.1452874564642363,1.9295706705258087
857,"frozenset([2, 7])","frozenset([1, 11, 5])",0.32127351664254705,0.3589001447178003,0.2778581765557164,0.8648648648648649,2.4097646033129907,0.16255306493870963,4.74413892908828
858,"frozenset([11, 5])","frozenset([1, 2, 7])",0.3589001447178003,0.3053545586107091,0.2778581765557164,0.7741935483870969,2.5353921418743317,0.16826638128009286,3.0762869547240035
859,"frozenset([11, 7])","frozenset([1, 2, 5])",0.3053545586107091,0.36324167872648333,0.2778581765557164,0.9099526066350713,2.505088650138782,0.16694067407917806,7.071368725721698
860,"frozenset([5, 7])","frozenset([1, 2, 11])",0.3125904486251809,0.3921852387843705,0.2778581765557164,0.8888888888888891,2.2665026650266507,0.1552648168199363,5.470332850940674
861,frozenset([1]),"frozenset([2, 11, 5, 7])",0.4341534008683068,0.2778581765557164,0.2778581765557164,0.6400000000000001,2.3033333333333337,0.15722510424498568,2.005949509567455
862,frozenset([2]),"frozenset([1, 11, 5, 7])",0.47901591895803186,0.2793053545586107,0.2778581765557164,0.5800604229607251,2.076796643864565,0.14406646547192456,1.7161865297920855
863,frozenset([11]),"frozenset([1, 2, 5, 7])",0.40520984081041966,0.2821997105643994,0.2778581765557164,0.6857142857142858,2.4298901098901102,0.16350807676116957,2.283910011840548
864,frozenset([5]),"frozenset([1, 2, 11, 7])",0.48191027496382055,0.30101302460202606,0.2778581765557164,0.5765765765765766,1.9154539154539154,0.1327969071020627,1.6507990270037256
865,frozenset([7]),"frozenset([1, 2, 11, 5])",0.39363241678726485,0.3545586107091172,0.2778581765557164,0.7058823529411765,1.9908763505402163,0.13829241372955156,2.1945007235890017
866,frozenset([11]),frozenset([5]),0.40520984081041966,0.48191027496382055,0.3589001447178003,0.8857142857142858,1.837923637923638,0.163625358914805,4.533285094066573
867,frozenset([5]),frozenset([11]),0.48191027496382055,0.40520984081041966,0.3589001447178003,0.7447447447447447,1.8379236379236379,0.163625358914805,2.330177917766238
868,"frozenset([11, 1, 3])",frozenset([5]),0.14037626628075253,0.48191027496382055,0.1316931982633864,0.9381443298969073,1.946719915792081,0.06404443318163447,8.375783888084916
869,"frozenset([1, 3, 5])",frozenset([11]),0.13603473227206947,0.40520984081041966,0.1316931982633864,0.9680851063829787,2.3890957446808514,0.07657058605473308,18.636758321273522
870,"frozenset([11, 3, 5])",frozenset([1]),0.1316931982633864,0.4341534008683068,0.1316931982633864,1.0,2.3033333333333332,0.07451814836611301,inf
871,"frozenset([1, 11, 5])",frozenset([3]),0.3589001447178003,0.17221418234442837,0.1316931982633864,0.36693548387096775,2.1306925996204935,0.06988550329751342,1.3075852406279094
872,"frozenset([1, 3])","frozenset([11, 5])",0.14616497829232997,0.3589001447178003,0.1316931982633864,0.900990099009901,2.5104199936122646,0.07923456640159504,6.475108538350218
873,"frozenset([11, 3])","frozenset([1, 5])",0.14037626628075253,0.3704775687409551,0.1316931982633864,0.9381443298969073,2.532256765463918,0.07968694042276028,10.177279305354576
874,"frozenset([3, 5])","frozenset([1, 11])",0.1548480463096961,0.40520984081041966,0.1316931982633864,0.8504672897196263,2.0988317757009347,0.06894724606842996,3.977659189580321
