support,itemsets
0.107091172214182,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Storage/storageAccounts'])"
0.105643994211288,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/loadBalancers'])"
0.102749638205499,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.102749638205499,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.102749638205499,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.102749638205499,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Storage/storageAccounts', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.096960926193922,frozenset([u'Microsoft.Compute/availabilitySets'])
0.096960926193922,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/loadBalancers'])"
0.094066570188133,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/availabilitySets'])"
0.094066570188133,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/loadBalancers'])"
0.083936324167873,"frozenset([u'Microsoft.Compute/availabilitySets', u'Microsoft.Compute/virtualMachines'])"
0.083936324167873,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/availabilitySets', u'Microsoft.Compute/virtualMachines'])"
0.081041968162084,frozenset([u'extensions'])
